[2023-02-02T09:40:59.975] [info] non-service runs
[2023-02-02T09:40:59.989] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:07.887] [info] non-service runs
[2023-02-02T09:41:07.899] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:20.365] [info] non-service runs
[2023-02-02T09:41:20.378] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:34.917] [info] non-service runs
[2023-02-02T09:41:34.929] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T10:00:40.394] [error] 2023-02-02 10:00:40.3948919 +0800 CST m=+72.945449401Error
[2023-02-02T10:00:40.437] [info] 2023-02-02 10:00:40.4370079 +0800 CST m=+72.987565401
[2023-02-02T10:00:40.437] [error] 2023-02-02 10:00:40.4370079 +0800 CST m=+72.987565401Error
[2023-02-02T10:01:05.364] [info] non-service runs
[2023-02-02T10:01:05.377] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T10:01:07.760] [info] 2023-02-02 10:01:07.7600139 +0800 CST m=+2.399795901
[2023-02-02T10:01:07.787] [info] 2023-02-02 10:01:07.7871184 +0800 CST m=+2.426900401
[2023-02-02T10:01:18.958] [info] 2023-02-02 10:01:18.958091 +0800 CST m=+13.597873001
[2023-02-02T10:01:18.983] [info] 2023-02-02 10:01:18.9833144 +0800 CST m=+13.623096401
[2023-02-02T10:01:22.188] [info] 2023-02-02 10:01:22.1885771 +0800 CST m=+16.828359101
[2023-02-02T10:01:22.215] [info] 2023-02-02 10:01:22.2153471 +0800 CST m=+16.855129101
[2023-02-02T10:02:00.217] [info] 2023-02-02 10:02:00.217034 +0800 CST m=+54.856816001
[2023-02-02T10:02:01.118] [info] 2023-02-02 10:02:01.1184646 +0800 CST m=+55.758246601
[2023-02-02T10:02:01.675] [info] 2023-02-02 10:02:01.6752569 +0800 CST m=+56.315038901
[2023-02-02T10:02:02.219] [info] 2023-02-02 10:02:02.2192038 +0800 CST m=+56.858985801
[2023-02-02T10:02:02.853] [info] 2023-02-02 10:02:02.8537023 +0800 CST m=+57.493484301
[2023-02-02T10:02:08.137] [info] 2023-02-02 10:02:08.137925 +0800 CST m=+62.777707001
[2023-02-02T10:02:08.173] [info] 2023-02-02 10:02:08.1735251 +0800 CST m=+62.813307101
[2023-02-02T10:02:26.200] [info] 2023-02-02 10:02:26.2002707 +0800 CST m=+80.840052701
[2023-02-02T10:02:26.250] [info] 2023-02-02 10:02:26.2505514 +0800 CST m=+80.890333401
